1851,"MPI","MNF-Pot-10","USA","MNF-Potter","43.595","-86.2657","Diane Byers","2004-06-05 0:00:00","CS78978","germany","","ltblu_circle"
1852,"MPI","MNF-Pot-15","USA","MNF-Potter","43.595","-86.2657","Diane Byers","2004-06-05 0:00:00","CS78979","germany","","ltblu_circle"
1853,"Monsanto","MNF-Pot-21","USA","MNF-Potter","43.595","-86.2657","Diane Byers","2004-06-05 0:00:00","CS77099","germany","","ltblu_circle"
1872,"Monsanto","MNF-Pot-75","USA","MNF-Potter","43.595","-86.2657","Diane Byers","2004-06-05 0:00:00","CS77100","germany","","ltblu_circle"
1890,"Monsanto","MNF-Riv-21","USA","MNF River","43.5139","-86.1859","Diane Byers","2004-06-05 0:00:00","CS77101","asia","","purple_circle"
1925,"Monsanto","MNF-Che-2","USA","MNF-Cherry","43.5251","-86.1843","Diane Byers","2004-06-05 0:00:00","CS77096","germany","","ltblu_circle"
1942,"MPI","MNF-Che-47","USA","MNF-Cherry","43.5251","-86.1843","Diane Byers","2004-06-05 0:00:00","CS78980","germany","","ltblu_circle"
1943,"MPI","MNF-Che-49","USA","MNF-Cherry","43.5251","-86.1843","Diane Byers","2004-06-05 0:00:00","CS78981","germany","","ltblu_circle"
1954,"Monsanto","MNF-Jac-12","USA","MNF-Jack","43.5187","-86.1739","Diane Byers","2004-06-05 0:00:00","CS77097","germany","","ltblu_circle"
2016,"Monsanto","MNF-Pin-39","USA","MNF-Pine","43.5356","-86.1788","Diane Byers","2004-06-05 0:00:00","CS77098","admixed","","forbidden"
2017,"MPI","MNF-Pin-40","USA","MNF-Pine","43.5356","-86.1788","Diane Byers","2004-06-05 0:00:00","CS78982","germany","","ltblu_circle"
2031,"MPI","Map-8","USA","Map","42.166","-86.412","Diane Byers","2002-05-01 0:00:00","CS78983","germany","","ltblu_circle"
2053,"MPI","Map-35","USA","Map","42.166","-86.412","Diane Byers","2002-05-01 0:00:00","CS78984","germany","","ltblu_circle"
2057,"MPI","Map-42","USA","Map","42.166","-86.412","Diane Byers","2002-05-01 0:00:00","CS77732","germany","","ltblu_circle"
2081,"MPI","MuskSP-68","USA","MuskSP","43.2483","-86.3368","Diane Byers","2004-06-04 0:00:00","CS78985","germany","","ltblu_circle"
2091,"MPI","MuskSP-83","USA","MuskSP","43.2483","-86.3368","Diane Byers","2004-06-04 0:00:00","CS78986","germany","","ltblu_circle"
2106,"MPI","MSGA-10","USA","MSGA","43.2749","-86.0891","Diane Byers","2004-06-04 0:00:00","CS78987","germany","","ltblu_circle"
2108,"MPI","MSGA-12","USA","MSGA","43.2749","-86.0891","Diane Byers","2004-06-04 0:00:00","CS78988","germany","","ltblu_circle"
2141,"MPI","MSGA-61","USA","MSGA","43.2749","-86.0891","Diane Byers","2004-06-04 0:00:00","CS78989","germany","","ltblu_circle"
2159,"MPI","Paw-13","USA","Paw","42.148","-86.431","Diane Byers","2002-05-01 0:00:00","CS78990","germany","","ltblu_circle"
2166,"MPI","Paw-20","USA","Paw","42.148","-86.431","Diane Byers","2002-05-01 0:00:00","CS78991","germany","","ltblu_circle"
2171,"Monsanto","Paw-26","USA","Paw","42.148","-86.431","Diane Byers","2002-05-01 0:00:00","CS77164","germany","","ltblu_circle"
2191,"MPI","Pent-7","USA","Pent","43.7623","-86.3929","Diane Byers","2004-06-04 0:00:00","CS78992","germany","","ltblu_circle"
2202,"Monsanto","Pent-23","USA","Pent","43.7623","-86.3929","Diane Byers","2004-06-04 0:00:00","CS77168","admixed","","forbidden"
2212,"MPI","Pent-46","USA","Pent","43.7623","-86.3929","Diane Byers","2004-06-04 0:00:00","CS78993","germany","","ltblu_circle"
2239,"MPI","Riv-25","USA","Riv","42.184","-86.382","Diane Byers","2002-05-01 0:00:00","CS78994","germany","","ltblu_circle"
2240,"MPI","Riv-26","USA","Riv","42.184","-86.382","Diane Byers","2002-05-01 0:00:00","CS78995","germany","","ltblu_circle"
2276,"Monsanto","SLSP-31","USA","SLSP","43.665","-86.496","Diane Byers","2004-06-04 0:00:00","CS77254","admixed","","forbidden"
2278,"Monsanto","SLSP-35","USA","SLSP","43.665","-86.496","Diane Byers","2004-06-04 0:00:00","CS77255","germany","","ltblu_circle"
2285,"MPI","SLSP-69","USA","SLSP","43.665","-86.496","Diane Byers","2004-06-04 0:00:00","CS78996","germany","","ltblu_circle"
2286,"MPI","SLSP-67","USA","SLSP","43.665","-86.496","Diane Byers","2004-06-04 0:00:00","CS78997","germany","","ltblu_circle"
2317,"Monsanto","Ste-40","USA","Ste","42.03","-86.514","Diane Byers","2002-05-01 0:00:00","CS77278","admixed","","forbidden"
